"position_clean","n"
"ai engineer",25
"ml engineer",21
"software engineer - ai",18
"prompt engineer",15
"data scientist - generative ai",12
"ai product manager",11
"full stack developer (ai)",10
"ai researcher",8
"llm operations",7
"ai ethicist",5
